search_term,ol_key,title,author,first_publish_year,publisher,language,subject,isbn,cover_i
graphic novel,/works/OL1846076W,The Giver,Lois Lowry,1993.0,,"ita, spa, pol, fre, cat",,,8352502.0
graphic novel,/works/OL18417W,The Wonderful Wizard of Oz,L. Frank Baum,1899.0,,"aze, arm, dan, lat, chi",,,552443.0
graphic novel,/works/OL361466W,King Henry V,William Shakespeare,1600.0,,"hun, chi, und, fre, ita",,,7420215.0
graphic novel,/works/OL23205W,The Grapes of Wrath,John Steinbeck,1939.0,,"gre, chi, und, heb, jpn",,,12715902.0
graphic novel,/works/OL1099280W,Vingt mille lieues sous les mers,Jules Verne,1870.0,,"guj, hun, chi, rus, vie",,,6573517.0
graphic novel,/works/OL18412W,Dorothy and the Wizard in Oz,L. Frank Baum,1908.0,,"spa, eng, pol",,,12648659.0
graphic novel,/works/OL20600W,Gulliver's Travels,Jonathan Swift,1726.0,,"rum, mal, kor, ita, spa",,,12717083.0
graphic novel,/works/OL362427W,Romeo and Juliet,William Shakespeare,1597.0,,"gre, fin, hun, chi, dan",,,8257991.0
graphic novel,/works/OL9170454W,Hamlet,William Shakespeare,1603.0,,"fry, gre, fin, hun, chi",,,8281954.0
graphic novel,/works/OL52266W,The Invisible Man,H. G. Wells,0.0,,"mon, chi, rus, fre, ita",,,6419199.0
graphic novel,/works/OL1793164W,Three Men in a Boat (to say nothing of the dog),Jerome Klapka Jérôme,1889.0,,"ita, dut, spa, fre, cat",,,8243006.0
graphic novel,/works/OL675783W,The Handmaid's Tale,Margaret Atwood,1985.0,,"dan, chi, eng, ger, jpn",,,8231851.0
graphic novel,/works/OL45089W,Robinson Crusoe,"Daniel Defoe, J. J. Grandville, Petrus Borel, Les éditions du Rey, N. C. Wyeth",1686.0,,"fin, chi, und, rus, yid",,,368541.0
graphic novel,/works/OL36737329W,Winter Turning - Graphic Novel,Tui T. Sutherland,2015.0,,eng,,,14554663.0
graphic novel,/works/OL1089297W,The Prince,Niccolò Machiavelli,1515.0,,"tam, chi, rus, jpn, swe",,,12726168.0
graphic novel,/works/OL796465W,O Alquimista,Paulo Coelho,1988.0,,"gre, chi, dan, rus, eng",,,7414780.0
graphic novel,/works/OL63985W,The Legend of Sleepy Hollow,Washington Irving,1820.0,,"epo, per, lav, gre, hun",,,8243083.0
graphic novel,/works/OL471832W,Hallowe'en Party,Agatha Christie,1969.0,,"ita, dut, spa, pol, fre",,,11160095.0
graphic novel,/works/OL471895W,The Murder at the Vicarage,Agatha Christie,1930.0,,"por, ger, eng, rus, fre",,,12996560.0
graphic novel,/works/OL15854658W,Black Beauty,Anna Sewell,1877.0,,"fre, eng, wel, ger",,,5007492.0
graphic novel,/works/OL259026W,King Lear,William Shakespeare,1608.0,,"gre, fin, geo, hun, chi",,,7420452.0
graphic novel,/works/OL471576W,Murder on the Orient Express,Agatha Christie,1933.0,,"jpn, hun, chi, rus, vie",,,11100465.0
graphic novel,/works/OL8699480W,Cipher,Minako Narita,2005.0,,eng,,,2737769.0
graphic novel,/works/OL93227W,Inferno,Dante Alighieri,1767.0,,"ita, spa, fre, eng, per",,,6387077.0
graphic novel,/works/OL863808W,Ivanhoe,Sir Walter Scott,1800.0,,"gle, dut, spa, fre, rus",,,314235.0
graphic novel,/works/OL1100007W,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872.0,,"gle, guj, kor, ita, fre",,,6976035.0
graphic novel,/works/OL8483260W,Diary of a Wimpy Kid,Jeff Kinney,2007.0,,"glg, chi, dan, mao, baq",,,14376136.0
